Date,Total.ST,Total.ST.min,Social.ST,Social.ST.min,Pickups,Pickup.1st
2024/1/15,7h36m,456,7h9m,429,106,0:08
2024/1/16,7h45m,465,5h28m,328,101,0:01
2024/1/17,8h57m,537,4h27m,267,135,0:01
2024/1/18,11h35m,695,6h1m,361,83,0:23
2024/1/19,8h39m,519,6h24m,384,169,0:01
2024/1/20,3h9m,189,1h46m,106,137,0:00
2024/1/21,4h41m,281,3h1m,181,274,0:00
2024/1/22,7h57m,477,4h27m,267,186,0:35
2024/1/23,10h57m,657,7h29m,449,177,0:09
2024/1/24,8h35m,515,4h10m,250,153,0:54
2024/1/25,5h25m,325,3h4m,184,212,2:27
2024/1/26,9h22m,562,3h51m,231,275,6:13
